ozan,1.0960421163329624E7,205,8.086640336777014E7
cormoranche sur saone,1.0960421163329624E7,211,7.087963084730184E7
plagne,1.0960421163329624E7,922,2.2385628936339237E7
tossiat,1.0960421163329624E7,501,3.776917991027091E7
pouillat,1.0960421163329624E7,770,2.838404832285143E7
torcieu,1.0960421163329624E7,782,2.100968161009911E7
replonges,1.0960421163329624E7,207,7.647597128762634E7
corcelles,1.0960421163329624E7,1081,1.6873037198800556E7
peron,1.0960421163329624E7,1501,1.3596247831971508E7
relevant,1.0960421163329624E7,282,5.5947933776415534E7
chaveyriat,1.0960421163329624E7,260,6.722002550515507E7
vaux en bugey,1.0960421163329624E7,681,2.407054577815239E7
maillat,1.0960421163329624E7,825,2.3936320359377895E7
faramans,1.0960421163329624E7,306,5.111783941441321E7
beon,1.0960421163329624E7,1412,1.009847753855154E7
saint bernard,1.0960421163329624E7,198,6.797975978077653E7
rossillon,1.0960421163329624E7,1022,1.4528012774983348E7
pont d ain,1.0960421163329624E7,314,5.746862194331138E7
nantua,1.0960421163329624E7,1125,1.7840946874711055E7
chavannes sur reyssouze,1.0960421163329624E7,218,8.265872257927433E7
neuville les dames,1.0960421163329624E7,271,6.167852284621776E7
flaxieu,1.0960421163329624E7,385,3.6470547038086034E7
hotonnes,1.0960421163329624E7,1338,1.3151069392366553E7
saint sorlin en bugey,1.0960421163329624E7,700,2.2796452468147077E7
songieu,1.0960421163329624E7,1275,1.3303107766713666E7
virieu le petit,1.0960421163329624E7,1524,1.0260461838410858E7
saint denis en bugey,1.0960421163329624E7,338,4.971516419876385E7
charnoz sur ain,1.0960421163329624E7,244,6.391635056495842E7
chazey sur ain,1.0960421163329624E7,261,6.1430160420461886E7
marchamp,1.0960421163329624E7,940,1.5064419048304336E7
culoz,1.0960421163329624E7,1430,1.0073800909501256E7
mantenay montlin,1.0960421163329624E7,222,8.6078834950849E7
marboz,1.0960421163329624E7,240,8.51410269631858E7
foissiat,1.0960421163329624E7,228,8.772866294271837E7
treffort cuisiat,1.0960421163329624E7,681,3.0488924801091082E7
izieu,1.0960421163329624E7,758,1.4991256310125982E7
saint etienne du bois,1.0960421163329624E7,259,7.826864253653578E7
hauteville lompnes,1.0960421163329624E7,1240,1.3793943721411146E7
saint trivier sur moignans,1.0960421163329624E7,289,5.2733233072521366E7
peyriat,1.0960421163329624E7,825,2.4140916629691005E7
evosges,1.0960421163329624E7,1001,1.7040925582090132E7
poncin,1.0960421163329624E7,540,3.4605530543827884E7
