ozan,118648.02306615064,500,0.0
cormoranche sur saone,101954.60900074328,1000,0.0
plagne,190718.36990431522,100,0.0
tossiat,145537.31690284988,1400,0.0
pouillat,168379.7364251651,100,0.0
torcieu,142173.15439849652,700,0.0
replonges,110686.34135691878,3300,9.034538387852242E9
corcelles,167214.49405414527,200,0.0
peron,212051.34889308098,1900,0.0
relevant,105556.58835820443,400,0.0
chaveyriat,122875.73501553424,900,0.0
vaux en bugey,137084.62844898654,1100,0.0
maillat,169289.21040594898,700,0.0
faramans,112452.19287890266,600,0.0
beon,173300.58430790366,400,0.0
saint bernard,76425.45139889706,1400,0.0
rossillon,157999.6771896798,100,0.0
pont d ain,142672.0432583534,2500,0.0
nantua,176997.95098918976,3600,5.649782917888556E9
chavannes sur reyssouze,129851.54611222075,700,0.0
neuville les dames,115199.27477181697,1500,0.0
flaxieu,170695.31835023852,100,0.0
hotonnes,175590.61030220214,300,0.0
saint sorlin en bugey,136958.62275530995,1100,0.0
songieu,175472.61145783958,100,0.0
virieu le petit,173534.20611315378,300,0.0
saint denis en bugey,137206.51410287095,2100,0.0
charnoz sur ain,120796.63247704688,900,0.0
chazey sur ain,126001.85772346375,1400,0.0
marchamp,150180.22051654782,100,0.0
culoz,177612.35950020945,2900,0.0
mantenay montlin,137392.98002737627,300,0.0
marboz,149733.65027367,2200,0.0
foissiat,144795.78452018352,1900,0.0
treffort cuisiat,158366.67438604857,2100,0.0
izieu,151428.49398852082,200,0.0
saint etienne du bois,150374.52695517626,2400,0.0
hauteville lompnes,165275.151272484,4200,6.050516319608934E9
saint trivier sur moignans,99577.04482522036,1900,0.0
peyriat,166808.49142067716,200,0.0
evosges,154626.56079421644,100,0.0
poncin,151277.72863834494,1600,0.0
crans,126255.50849314936,300,0.0
montreal la cluse,174337.92265756588,3500,5.735986667480245E9
cleyzieu,144655.04278536903,100,0.0
lompnieu,170372.93863041166,100,0.0
villereversure,155058.59740763015,1200,0.0
saint martin du mont,145408.26019734057,1600,0.0
saint genis pouilly,223308.11939563975,8400,1.7912470047330055E10
bolozon,166153.13607295492,100,0.0
confrancon,127453.17574419743,1100,0.0
lochieu,175350.49296686365,100,0.0
chanoz chatenay,119491.78409762957,700,0.0
villebois,141928.49032471966,1100,0.0
ceignes,163287.0381541013,300,0.0
saint didier sur chalaronne,96611.39547515397,2700,0.0
revonnas,149061.9519482272,700,0.0
bourg saint christophe,116620.52168888462,1100,0.0
condeissiat,123656.7039615608,700,0.0
pirajoux,157565.87529113368,300,0.0
chalamont,122994.22118026245,2200,0.0
le plantay,115442.48471657065,500,0.0
versailleux,115309.06471168497,300,0.0
montagnat,143977.08346836793,1600,0.0
vieu,170132.90520269956,400,0.0
saint andre de corcy,96445.53557772003,3000,1.0368546288948298E10
bressolles,108941.95230843763,700,0.0
peronnas,136417.02286889986,6100,2.9321853797118114E10
colomieu,154256.33009226047,100,0.0
monthieux,96573.70130798641,600,0.0
saint jean sur reyssouze,134782.63899161507,700,0.0
garnerans,100126.5362333013,600,0.0
montrevel en bresse,137880.70096011786,2400,0.0
conand,147139.15427626585,100,0.0
challes la montagne,160801.87341788696,200,0.0
mogneneins,94779.8334866007,700,0.0
thoissey,94922.51140229379,1500,0.0
chaleins,87613.1888646455,1200,0.0
neuville sur ain,147886.00420415957,1500,0.0
thil,97754.51415730937,1100,0.0
jujurieux,150239.3421285324,2000,0.0
oncieu,150778.73659746398,100,0.0
lurcy,86065.34785539225,400,0.0
balan,107120.40960942607,2400,0.0
ambutrix,136294.66873849244,700,0.0
sainte croix,105563.3714843296,500,0.0
blyes,123274.4894229162,900,0.0
conzieu,152556.57417631207,100,0.0
nievroz,103735.629247318,1500,0.0
nurieux volognat,169777.6953499784,1100,0.0
ambleon,153464.929298405,100,0.0
saint maurice de gourdans,116376.12614263159,2400,0.0
chezery forens,207859.16038202838,400,0.0
sault brenaz,140232.25758250602,1100,0.0
murs et gelignieux,153922.61549812212,200,0.0
le petit abergement,174011.04759798263,100,0.0
cormoz,154460.70897187083,500,0.0
saint martin de bavel,167407.51025758317,500,0.0
saint trivier de courtes,140147.1030176342,1000,0.0
boyeux saint jerome,155329.88047358335,300,0.0
chateau gaillard,134728.23928601734,1700,0.0
premeyzel,154937.60522619978,300,0.0
arandas,149746.82067402205,200,0.0
chatenay,128202.01844836843,300,0.0
innimond,151879.26583138562,100,0.0
boz,117877.51336349885,500,0.0
briord,141690.20321478494,900,0.0
reyrieux,83833.8838386494,4000,1.1928351093987804E10
matafelon granges,178300.4206404731,700,0.0
drom,155195.0289754926,200,0.0
chatillon en michaille,193082.1819903282,3100,5.179141802168425E9
polliat,133304.1314026032,2400,0.0
vesancy,235609.6869715111,500,0.0
massieux,84615.45004659912,2400,0.0
saint cyr sur menthon,118996.50291019621,1600,0.0
serrieres sur ain,160019.37306870217,100,0.0
nivollet montgriffon,149202.60092103668,100,0.0
izernore,173859.23869491936,2200,0.0
saint nizier le desert,124035.31473626346,900,0.0
guereins,89577.0457368335,1200,0.0
illiat,104277.6500220049,500,0.0
la trancliere,139543.64961603444,300,0.0
saint didier de formans,81368.32777428046,1800,0.0
merignat,153762.0226999037,100,0.0
saint eloi,117656.06790734656,400,0.0
la chapelle du chatelard,113102.53227279875,300,0.0
saint jean de niost,118975.42458822527,1400,0.0
savigneux,90858.1123986191,1200,0.0
nattages,169560.54603072364,500,0.0
saint benoit,149046.47709227886,700,0.0
douvres,142417.70641735598,900,0.0
francheleins,89441.72195206623,1200,0.0
dortan,191237.17370667684,2100,0.0
saint germain les paroisses,156073.2463786035,400,0.0
miribel,91724.73603103813,9000,9.811966094897835E10
lancrans,198186.0552906592,1000,0.0
echenevex,228669.63889923654,1500,0.0
saint jean sur veyle,111318.92357218149,1100,0.0
billiat,189438.79557499124,400,0.0
l abergement de varey,148419.0591783017,200,0.0
villeneuve,90666.86436668759,1400,0.0
villars les dombes,107762.34601037507,4300,9.279679192430746E9
thezillieu,160724.69302640232,300,0.0
saint etienne sur reyssouze,128017.8276446467,500,0.0
souclin,141142.69455617853,300,0.0
saint just,144932.35007513763,900,0.0
civrieux,89684.04412486142,1300,0.0
argis,151563.83294805037,400,0.0
talissieu,171718.94193472856,500,0.0
birieux,106720.33178436536,200,0.0
saint julien sur veyle,111953.91885090615,700,0.0
thoiry,218787.07703680752,4900,4.570653868335037E9
laiz,107939.01351994458,1100,0.0
cressin rochefort,171376.9882977161,400,0.0
saint champ,168877.2260699734,100,0.0
saint georges sur renon,114925.97444769907,200,0.0
lantenay,163032.61660418808,300,0.0
vernoux,144446.35229056535,200,0.0
cormaranche en bugey,164363.45494789167,900,0.0
sainte euphemie,82281.20560980876,1400,0.0
beaupont,155096.4227398756,600,0.0
brens,161424.7296529299,1000,0.0
ramasse,152583.25676355322,300,0.0
divonne les bains,241640.53059030097,7800,1.6553514388618683E10
leaz,201469.91512685697,500,0.0
villes,190346.5255565824,400,0.0
saint julien sur reyssouze,139858.2257341037,600,0.0
groslee,148256.00360062096,400,0.0
vandeins,126399.37367990252,600,0.0
verjon,160819.2294349248,300,0.0
saint andre sur vieux jonc,121049.83603438696,1000,0.0
saint andre d huiriat,109490.56705600717,500,0.0
grilly,238102.70050296836,700,0.0
cessy,232078.2663237826,3700,4.308891202267324E9
ordonnaz,151204.40226460068,100,0.0
vescours,135073.0749140442,200,0.0
meillonnas,155326.2892119283,1300,0.0
geovreisset,180780.32221237457,900,0.0
ceyzerieu,171599.30443578944,900,0.0
beard geovreissiat,174642.02674656955,900,0.0
la burbanche,155512.07798350658,100,0.0
perrex,117162.33029215566,800,0.0
villemotier,157429.56817615317,600,0.0
jasseron,151803.53103108928,1400,0.0
corveissiat,167979.3376041694,600,0.0
journans,148146.7759327439,300,0.0
sermoyer,131836.75469744857,700,0.0
charix,185618.4757077571,300,0.0
arbignieu,157655.45464857144,500,0.0
leyssard,162631.5666833031,200,0.0
saint jean de thurigneux,91503.2966446362,600,0.0
frans,83188.87208719138,2000,0.0
tenay,152355.9232555195,1100,0.0
bage la ville,118363.75695841773,2900,0.0
montmerle sur saone,86974.56619151201,3800,1.1497614116270138E10
courmangoux,161596.95108397093,500,0.0
baneins,102315.88391766336,600,0.0
lagnieu,136173.32084997132,6700,2.9374329531164127E10
attignat,138519.11962794495,2700,0.0
saint andre de bage,114066.1143599011,600,0.0
pont de vaux,123090.32983064695,2200,0.0
amberieu en bugey,138902.55465798985,12800,1.1518866617965158E11
peyzieux sur saone,93869.91784726377,400,0.0
crozet,224560.82375880296,1800,0.0
seyssel,188556.62686310842,900,0.0
beynost,96967.63588462831,4300,1.0312719196225386E10
versonnex,234413.31375672013,2100,0.0
saint laurent sur saone,105619.30517046557,1700,0.0
artemare,170018.13395690243,1100,0.0
montracol,127952.24754770528,900,0.0
